CONTAINER ID        NAME                      CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
56ba63f4fb49        peer62.org1.example.com   1.02%               22.59MiB / 7.695GiB   0.29%               530kB / 408kB       287kB / 32.8kB      13
08c451d9ae59        peer16.org1.example.com   1.15%               22.28MiB / 7.695GiB   0.28%               527kB / 397kB       73.7kB / 32.8kB     11
6883a64f237b        peer83.org1.example.com   1.07%               21.05MiB / 7.695GiB   0.27%               493kB / 441kB       238kB / 164kB       11
f87e8caec353        peer87.org1.example.com   1.01%               21.98MiB / 7.695GiB   0.28%               530kB / 459kB       238kB / 32.8kB      12
246286302c25        peer73.org1.example.com   1.36%               23.2MiB / 7.695GiB    0.29%               553kB / 474kB       139kB / 41kB        14
4777ab4a85b1        peer80.org1.example.com   1.07%               23.02MiB / 7.695GiB   0.29%               597kB / 409kB       65.5kB / 106kB      11
7e32e6cb0a55        peer34.org1.example.com   1.04%               22.18MiB / 7.695GiB   0.28%               598kB / 329kB       156kB / 32.8kB      11
c885f63303d8        peer42.org1.example.com   1.20%               18.66MiB / 7.695GiB   0.24%               467kB / 539kB       229kB / 32.8kB      11
b5e1266682df        peer67.org1.example.com   1.06%               21.64MiB / 7.695GiB   0.27%               522kB / 444kB       295kB / 32.8kB      11
22be238ab02a        peer27.org1.example.com   1.47%               22.56MiB / 7.695GiB   0.29%               601kB / 493kB       139kB / 32.8kB      12
fafe1e518a28        peer12.org1.example.com   1.87%               21.6MiB / 7.695GiB    0.27%               477kB / 396kB       188kB / 32.8kB      10
c190f5ba891c        peer91.org1.example.com   1.00%               21.36MiB / 7.695GiB   0.27%               519kB / 440kB       90.1kB / 32.8kB     12
ac7322e424c0        peer99.org1.example.com   1.18%               22.04MiB / 7.695GiB   0.28%               731kB / 661kB       139kB / 32.8kB      13
4dee2e38ea0a        peer94.org1.example.com   1.28%               19.51MiB / 7.695GiB   0.25%               474kB / 390kB       319kB / 32.8kB      10
4f6407b1dddb        peer24.org1.example.com   3.44%               20.55MiB / 7.695GiB   0.26%               589kB / 633kB       41kB / 32.8kB       10
9fae82985af6        peer88.org1.example.com   0.89%               19.69MiB / 7.695GiB   0.25%               494kB / 505kB       123kB / 508kB       10
3e1fae0c9301        peer38.org1.example.com   1.22%               25.12MiB / 7.695GiB   0.32%               1.02MB / 892kB      213kB / 139kB       13
a83c304cc667        peer89.org1.example.com   1.02%               25.18MiB / 7.695GiB   0.32%               1.12MB / 837kB      123kB / 115kB       13
66587be9d49f        peer59.org1.example.com   1.99%               25.96MiB / 7.695GiB   0.33%               1.13MB / 869kB      623kB / 32.8kB      15
91b7c39da561        peer76.org1.example.com   3.34%               25.43MiB / 7.695GiB   0.32%               1.18MB / 953kB      451kB / 32.8kB      14
e194deb2dbd8        peer85.org1.example.com   1.12%               26.02MiB / 7.695GiB   0.33%               1.33MB / 1.05MB     81.9kB / 32.8kB     13
f721e09db0d2        peer1.org1.example.com    16.13%              55.86MiB / 7.695GiB   0.71%               3.89MB / 12.1MB     98.3kB / 65.5kB     11
85fdbda25496        peer64.org1.example.com   4.13%               25.16MiB / 7.695GiB   0.32%               1.19MB / 878kB      90.1kB / 32.8kB     13
cc059df2b03e        peer44.org1.example.com   5.14%               25.32MiB / 7.695GiB   0.32%               816kB / 692kB       156kB / 65.5kB      13
672f538c553a        peer66.org1.example.com   1.66%               25.61MiB / 7.695GiB   0.32%               1.15MB / 921kB      139kB / 32.8kB      13
76fe575b8a28        peer4.org1.example.com    1.30%               25.41MiB / 7.695GiB   0.32%               1.17MB / 889kB      0B / 32.8kB         14
7038433af252        peer36.org1.example.com   1.09%               25.5MiB / 7.695GiB    0.32%               1.21MB / 953kB      246kB / 32.8kB      15
dad1128906d0        peer69.org1.example.com   7.07%               26.68MiB / 7.695GiB   0.34%               1.29MB / 934kB      270kB / 32.8kB      14
9a6ec4480c05        peer21.org1.example.com   5.33%               26.09MiB / 7.695GiB   0.33%               1.24MB / 1.07MB     41kB / 32.8kB       15
4bb3b5d4b097        peer18.org1.example.com   3.48%               25.69MiB / 7.695GiB   0.33%               1.2MB / 997kB       213kB / 32.8kB      13
c6a83a8e1efd        peer19.org1.example.com   2.36%               26.82MiB / 7.695GiB   0.34%               1.14MB / 959kB      156kB / 32.8kB      13
3f5e6c600a39        orderer.example.com       0.01%               9.832MiB / 7.695GiB   0.12%               171kB / 2.15kB      926kB / 123kB       8
b48ee84170b0        peer46.org1.example.com   2.77%               26.89MiB / 7.695GiB   0.34%               1.42MB / 1.07MB     229kB / 32.8kB      15
df3a7c7a4f30        peer41.org1.example.com   1.37%               25.91MiB / 7.695GiB   0.33%               1.37MB / 946kB      65.5kB / 32.8kB     14
9f16950228a9        peer8.org1.example.com    1.10%               25.7MiB / 7.695GiB    0.33%               1.35MB / 1.02MB     139kB / 32.8kB      15
45b3b9deb6de        peer86.org1.example.com   1.21%               27.77MiB / 7.695GiB   0.35%               1.31MB / 996kB      106kB / 844kB       16
1126ca20feff        peer47.org1.example.com   8.00%               26.09MiB / 7.695GiB   0.33%               1.44MB / 1.04MB     147kB / 32.8kB      15
eea21119143e        peer6.org1.example.com    1.83%               26.37MiB / 7.695GiB   0.33%               1.5MB / 1.1MB       32.8kB / 32.8kB     15
d6b3d6a8cbc5        peer75.org1.example.com   1.04%               27.59MiB / 7.695GiB   0.35%               1.47MB / 1.1MB      90.1kB / 115kB      17
16dac51b21bf        peer81.org1.example.com   1.62%               26.9MiB / 7.695GiB    0.34%               1.23MB / 1.06MB     156kB / 32.8kB      14
8fbe20ef8121        peer37.org1.example.com   1.57%               24.96MiB / 7.695GiB   0.32%               975kB / 758kB       98.3kB / 73.7kB     14
205a6533cccd        peer28.org1.example.com   1.90%               25.24MiB / 7.695GiB   0.32%               970kB / 731kB       139kB / 32.8kB      13
8eebd44eda88        peer2.org1.example.com    3.56%               26.2MiB / 7.695GiB    0.33%               1.35MB / 968kB      401kB / 115kB       14
720975843f70        peer68.org1.example.com   3.30%               25.48MiB / 7.695GiB   0.32%               1.08MB / 806kB      360kB / 32.8kB      13
317ae39a9873        peer48.org1.example.com   1.81%               25.49MiB / 7.695GiB   0.32%               1.08MB / 741kB      98.3kB / 32.8kB     12
db26f2b96628        peer10.org1.example.com   1.27%               25.95MiB / 7.695GiB   0.33%               1.25MB / 831kB      73.7kB / 32.8kB     11
ecab3ff61eab        peer98.org1.example.com   2.68%               25.28MiB / 7.695GiB   0.32%               1.09MB / 820kB      73.7kB / 32.8kB     13
198c111231c8        peer93.org1.example.com   0.83%               25.71MiB / 7.695GiB   0.33%               1.27MB / 902kB      221kB / 90.1kB      12
eab2ede5706b        peer71.org1.example.com   1.13%               25.87MiB / 7.695GiB   0.33%               962kB / 552kB       811kB / 32.8kB      14
a760ba830f2d        peer77.org1.example.com   0.90%               26.51MiB / 7.695GiB   0.34%               1MB / 556kB         106kB / 49.2kB      13
f7aaf54ac48b        peer58.org1.example.com   8.46%               26.36MiB / 7.695GiB   0.33%               1.54MB / 1.12MB     156kB / 32.8kB      15
5aec44e7e656        peer11.org1.example.com   1.48%               26MiB / 7.695GiB      0.33%               943kB / 328kB       32.8kB / 32.8kB     14
d384efbb7f40        peer40.org1.example.com   1.72%               26.19MiB / 7.695GiB   0.33%               1.16MB / 577kB      65.5kB / 32.8kB     13
023348fc4823        peer20.org1.example.com   7.67%               25.72MiB / 7.695GiB   0.33%               783kB / 254kB       41kB / 32.8kB       14
58aa95f6a58b        peer9.org1.example.com    0.90%               25.7MiB / 7.695GiB    0.33%               960kB / 309kB       164kB / 32.8kB      14
45c108523282        peer45.org1.example.com   1.87%               26.17MiB / 7.695GiB   0.33%               1.03MB / 363kB      57.3kB / 32.8kB     13
eff0ce3d778e        peer3.org1.example.com    0.86%               25.38MiB / 7.695GiB   0.32%               991kB / 277kB       73.7kB / 32.8kB     13
01557fa306df        peer51.org1.example.com   3.07%               27.11MiB / 7.695GiB   0.34%               1.1MB / 483kB       57.3kB / 32.8kB     12
065f6ed18ed7        peer57.org1.example.com   7.69%               25.95MiB / 7.695GiB   0.33%               984kB / 291kB       57.3kB / 32.8kB     12
c036b66baf22        peer26.org1.example.com   1.09%               26.18MiB / 7.695GiB   0.33%               1.16MB / 392kB      65.5kB / 32.8kB     14
4e1e3e229574        peer7.org1.example.com    2.71%               25.98MiB / 7.695GiB   0.33%               993kB / 469kB       115kB / 32.8kB      15
b551342d1d66        peer23.org1.example.com   0.87%               26.01MiB / 7.695GiB   0.33%               1.1MB / 608kB       492kB / 32.8kB      12
111ec92811dc        peer65.org1.example.com   2.21%               26.3MiB / 7.695GiB    0.33%               1.17MB / 316kB      90.1kB / 123kB      12
4b79960f5d94        peer0.org1.example.com    15.49%              65.58MiB / 7.695GiB   0.83%               5.85MB / 15.6MB     98.3kB / 32.8kB     14
91023ac5f6e0        peer31.org1.example.com   1.02%               26.98MiB / 7.695GiB   0.34%               981kB / 303kB       229kB / 32.8kB      13
c13373dc2c1f        peer56.org1.example.com   1.57%               25.96MiB / 7.695GiB   0.33%               1.29MB / 885kB      246kB / 32.8kB      13
a6f2e9256efc        peer52.org1.example.com   1.20%               26.23MiB / 7.695GiB   0.33%               887kB / 355kB       90.1kB / 32.8kB     13
0c5c3828b471        peer92.org1.example.com   1.42%               26.3MiB / 7.695GiB    0.33%               1.03MB / 488kB      172kB / 98.3kB      17
9904d77d6a79        peer78.org1.example.com   0.99%               26.34MiB / 7.695GiB   0.33%               1.28MB / 717kB      57.3kB / 98.3kB     16
ba802c0bfb4b        peer43.org1.example.com   0.59%               25.67MiB / 7.695GiB   0.33%               1.03MB / 334kB      221kB / 123kB       14
e200a9e66dbc        peer22.org1.example.com   0.87%               25.98MiB / 7.695GiB   0.33%               748kB / 250kB       41kB / 32.8kB       13
3508d546543f        peer61.org1.example.com   0.89%               12.29MiB / 7.695GiB   0.16%               195kB / 22kB        106kB / 1.02MB      9
3144ba249452        peer25.org1.example.com   2.17%               26.1MiB / 7.695GiB    0.33%               999kB / 319kB       57.3kB / 32.8kB     15
1d60a9a43455        peer39.org1.example.com   8.10%               27.69MiB / 7.695GiB   0.35%               1.04MB / 395kB      57.3kB / 32.8kB     15
c9c5b3e38a28        peer33.org1.example.com   2.98%               26.17MiB / 7.695GiB   0.33%               1.21MB / 358kB      90.1kB / 32.8kB     15
027869595f92        peer82.org1.example.com   0.60%               26.13MiB / 7.695GiB   0.33%               1.04MB / 502kB      98.3kB / 32.8kB     15
815dcb6c70a1        peer15.org1.example.com   3.02%               25.34MiB / 7.695GiB   0.32%               858kB / 322kB       221kB / 32.8kB      12
a44a5ecadd32        peer53.org1.example.com   2.65%               25.84MiB / 7.695GiB   0.33%               1.02MB / 325kB      90.1kB / 90.1kB     13
b2a9a8f48d8e        peer72.org1.example.com   1.80%               26.46MiB / 7.695GiB   0.34%               1.13MB / 349kB      98.3kB / 57.3kB     15
4a4af34834a5        peer5.org1.example.com    2.43%               26.04MiB / 7.695GiB   0.33%               1.16MB / 357kB      41kB / 57.3kB       14
2b1d5668b0b0        peer96.org1.example.com   8.70%               26.11MiB / 7.695GiB   0.33%               1.05MB / 355kB      90.1kB / 32.8kB     13
ffc1f8a74075        peer49.org1.example.com   5.74%               27.74MiB / 7.695GiB   0.35%               1.17MB / 398kB      90.1kB / 32.8kB     16
7a921d84b8c8        peer14.org1.example.com   7.16%               26.59MiB / 7.695GiB   0.34%               1.43MB / 712kB      115kB / 106kB       15

# PEERS CREATED

CONTAINER ID        NAME                      CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
430a7b143ff5        peer63.org1.example.com   0.94%               24.89MiB / 7.695GiB   0.32%               1.17MB / 1.07MB     188kB / 32.8kB      12
2b064a18eded        peer54.org1.example.com   0.88%               24.32MiB / 7.695GiB   0.31%               1.04MB / 957kB      164kB / 32.8kB      13
b10304933ed1        peer95.org1.example.com   1.08%               24.79MiB / 7.695GiB   0.31%               1.13MB / 1.09MB     106kB / 32.8kB      12
ec2b6222c935        peer30.org1.example.com   0.79%               24.36MiB / 7.695GiB   0.31%               1.1MB / 976kB       81.9kB / 32.8kB     11
49632d30e1a7        peer90.org1.example.com   0.98%               25.39MiB / 7.695GiB   0.32%               1.1MB / 1.02MB      147kB / 32.8kB      12
c8de34c73514        peer55.org1.example.com   0.87%               24.88MiB / 7.695GiB   0.32%               1.21MB / 961kB      98.3kB / 32.8kB     13
a5a79b4f41c2        peer84.org1.example.com   1.55%               25.08MiB / 7.695GiB   0.32%               1.11MB / 1.01MB     57.3kB / 32.8kB     12
949c5f4e89b1        peer17.org1.example.com   1.15%               24.42MiB / 7.695GiB   0.31%               1.08MB / 1.03MB     156kB / 32.8kB      12
cc4ed00dbc5a        peer13.org1.example.com   0.97%               24.58MiB / 7.695GiB   0.31%               1.16MB / 1.15MB     229kB / 32.8kB      12
e637f158f09e        peer60.org1.example.com   1.04%               24.43MiB / 7.695GiB   0.31%               1.19MB / 1.21MB     73.7kB / 32.8kB     13
bae0e839064f        peer35.org1.example.com   0.95%               24.46MiB / 7.695GiB   0.31%               1.21MB / 1.25MB     156kB / 32.8kB      12
31ec5d034e94        peer74.org1.example.com   1.16%               25.07MiB / 7.695GiB   0.32%               1.14MB / 1.14MB     295kB / 32.8kB      12
de1e3ee0718b        peer29.org1.example.com   1.24%               23.99MiB / 7.695GiB   0.30%               1.12MB / 1.23MB     106kB / 32.8kB      12
aa98b4e551fd        peer79.org1.example.com   0.99%               24.11MiB / 7.695GiB   0.31%               1.2MB / 1.18MB      123kB / 32.8kB      11
97dea4de47d0        peer32.org1.example.com   1.12%               25.11MiB / 7.695GiB   0.32%               1.24MB / 1.2MB      221kB / 32.8kB      12
2ad54ba8faa8        peer97.org1.example.com   1.04%               24.92MiB / 7.695GiB   0.32%               1.23MB / 1.09MB     115kB / 32.8kB      12
0d66e5724205        peer70.org1.example.com   0.72%               24.43MiB / 7.695GiB   0.31%               1.07MB / 1.12MB     81.9kB / 32.8kB     12
05a1a50f6364        peer50.org1.example.com   2.78%               24.95MiB / 7.695GiB   0.32%               1.29MB / 1.27MB     279kB / 32.8kB      12
56ba63f4fb49        peer62.org1.example.com   1.74%               25.14MiB / 7.695GiB   0.32%               1.38MB / 1.24MB     287kB / 32.8kB      13
08c451d9ae59        peer16.org1.example.com   1.57%               24.52MiB / 7.695GiB   0.31%               1.25MB / 1.34MB     81.9kB / 32.8kB     12
6883a64f237b        peer83.org1.example.com   1.69%               24.72MiB / 7.695GiB   0.31%               1.21MB / 1.29MB     238kB / 164kB       13
f87e8caec353        peer87.org1.example.com   1.10%               24.77MiB / 7.695GiB   0.31%               1.17MB / 1.23MB     238kB / 32.8kB      12
246286302c25        peer73.org1.example.com   0.86%               25.68MiB / 7.695GiB   0.33%               1.3MB / 1.1MB       172kB / 41kB        14
4777ab4a85b1        peer80.org1.example.com   1.02%               25.95MiB / 7.695GiB   0.33%               1.29MB / 969kB      65.5kB / 106kB      13
7e32e6cb0a55        peer34.org1.example.com   1.17%               25.2MiB / 7.695GiB    0.32%               1.19MB / 772kB      156kB / 32.8kB      13
c885f63303d8        peer42.org1.example.com   1.00%               23.02MiB / 7.695GiB   0.29%               1.02MB / 1.35MB     238kB / 32.8kB      11
b5e1266682df        peer67.org1.example.com   1.11%               24.43MiB / 7.695GiB   0.31%               1.28MB / 1.36MB     303kB / 32.8kB      11
22be238ab02a        peer27.org1.example.com   1.16%               25.63MiB / 7.695GiB   0.33%               1.4MB / 1.22MB      139kB / 32.8kB      13
fafe1e518a28        peer12.org1.example.com   1.02%               23.95MiB / 7.695GiB   0.30%               1.04MB / 991kB      197kB / 32.8kB      10
c190f5ba891c        peer91.org1.example.com   1.80%               25.23MiB / 7.695GiB   0.32%               1.4MB / 1.28MB      90.1kB / 32.8kB     12
ac7322e424c0        peer99.org1.example.com   0.83%               25.04MiB / 7.695GiB   0.32%               1.48MB / 1.53MB     139kB / 32.8kB      13
4dee2e38ea0a        peer94.org1.example.com   1.09%               23.76MiB / 7.695GiB   0.30%               1.07MB / 1.15MB     319kB / 32.8kB      11
4f6407b1dddb        peer24.org1.example.com   0.86%               24.38MiB / 7.695GiB   0.31%               1.23MB / 1.54MB     49.2kB / 32.8kB     11
9fae82985af6        peer88.org1.example.com   0.95%               24.37MiB / 7.695GiB   0.31%               1.16MB / 1.32MB     123kB / 508kB       10
3e1fae0c9301        peer38.org1.example.com   1.65%               27.03MiB / 7.695GiB   0.34%               2.13MB / 1.94MB     213kB / 139kB       13
a83c304cc667        peer89.org1.example.com   6.35%               26.92MiB / 7.695GiB   0.34%               2.3MB / 1.83MB      123kB / 115kB       13
66587be9d49f        peer59.org1.example.com   6.81%               27.61MiB / 7.695GiB   0.35%               2.33MB / 1.87MB     623kB / 32.8kB      15
91b7c39da561        peer76.org1.example.com   2.30%               27MiB / 7.695GiB      0.34%               2.32MB / 2.1MB      451kB / 32.8kB      14
e194deb2dbd8        peer85.org1.example.com   2.75%               26.55MiB / 7.695GiB   0.34%               2.66MB / 2.02MB     81.9kB / 32.8kB     15
f721e09db0d2        peer1.org1.example.com    35.83%              59.12MiB / 7.695GiB   0.75%               7.07MB / 26.9MB     106kB / 65.5kB      16
85fdbda25496        peer64.org1.example.com   1.99%               27.01MiB / 7.695GiB   0.34%               2.28MB / 1.68MB     90.1kB / 32.8kB     14
cc059df2b03e        peer44.org1.example.com   3.45%               25.8MiB / 7.695GiB    0.33%               1.31MB / 1.2MB      156kB / 65.5kB      13
672f538c553a        peer66.org1.example.com   2.65%               27.74MiB / 7.695GiB   0.35%               2.35MB / 1.95MB     147kB / 32.8kB      14
76fe575b8a28        peer4.org1.example.com    5.02%               27.55MiB / 7.695GiB   0.35%               2.37MB / 1.8MB      0B / 32.8kB         14
7038433af252        peer36.org1.example.com   1.15%               26.78MiB / 7.695GiB   0.34%               2.36MB / 1.9MB      246kB / 32.8kB      15
dad1128906d0        peer69.org1.example.com   1.29%               28.12MiB / 7.695GiB   0.36%               2.45MB / 1.79MB     270kB / 32.8kB      14
9a6ec4480c05        peer21.org1.example.com   2.87%               27.16MiB / 7.695GiB   0.34%               2.41MB / 2.05MB     41kB / 32.8kB       15
4bb3b5d4b097        peer18.org1.example.com   2.51%               26MiB / 7.695GiB      0.33%               2.25MB / 1.77MB     213kB / 32.8kB      13
c6a83a8e1efd        peer19.org1.example.com   4.01%               27.09MiB / 7.695GiB   0.34%               2.25MB / 1.88MB     164kB / 32.8kB      14
3f5e6c600a39        orderer.example.com       0.01%               9.844MiB / 7.695GiB   0.12%               181kB / 19.5kB      1.81MB / 123kB      8
b48ee84170b0        peer46.org1.example.com   1.08%               27.66MiB / 7.695GiB   0.35%               2.52MB / 2.05MB     238kB / 32.8kB      15
df3a7c7a4f30        peer41.org1.example.com   0.93%               26.94MiB / 7.695GiB   0.34%               2.43MB / 1.8MB      156kB / 32.8kB      14
9f16950228a9        peer8.org1.example.com    0.92%               26.76MiB / 7.695GiB   0.34%               2.49MB / 1.97MB     139kB / 32.8kB      15
45b3b9deb6de        peer86.org1.example.com   1.86%               28.78MiB / 7.695GiB   0.37%               2.35MB / 1.91MB     147kB / 844kB       16
1126ca20feff        peer47.org1.example.com   1.92%               27.87MiB / 7.695GiB   0.35%               2.55MB / 1.97MB     147kB / 32.8kB      15
eea21119143e        peer6.org1.example.com    5.35%               28.57MiB / 7.695GiB   0.36%               2.82MB / 2.05MB     73.7kB / 32.8kB     15
d6b3d6a8cbc5        peer75.org1.example.com   2.28%               28.84MiB / 7.695GiB   0.37%               2.77MB / 2.12MB     90.1kB / 115kB      17
16dac51b21bf        peer81.org1.example.com   0.96%               27.54MiB / 7.695GiB   0.35%               2.38MB / 2MB        156kB / 32.8kB      14
8fbe20ef8121        peer37.org1.example.com   0.92%               25.62MiB / 7.695GiB   0.33%               1.6MB / 1.31MB      106kB / 73.7kB      14
205a6533cccd        peer28.org1.example.com   6.20%               26.86MiB / 7.695GiB   0.34%               1.74MB / 1.47MB     147kB / 32.8kB      14
8eebd44eda88        peer2.org1.example.com    2.11%               27.83MiB / 7.695GiB   0.35%               2.25MB / 1.68MB     401kB / 115kB       14
720975843f70        peer68.org1.example.com   2.67%               26.12MiB / 7.695GiB   0.33%               2.14MB / 1.62MB     360kB / 32.8kB      14
317ae39a9873        peer48.org1.example.com   2.15%               26.59MiB / 7.695GiB   0.34%               2.15MB / 1.49MB     98.3kB / 32.8kB     15
db26f2b96628        peer10.org1.example.com   2.23%               26.73MiB / 7.695GiB   0.34%               2.37MB / 1.75MB     106kB / 32.8kB      13
ecab3ff61eab        peer98.org1.example.com   4.93%               25.94MiB / 7.695GiB   0.33%               2.01MB / 1.55MB     73.7kB / 32.8kB     13
198c111231c8        peer93.org1.example.com   2.49%               26.79MiB / 7.695GiB   0.34%               2.44MB / 1.75MB     221kB / 90.1kB      14
eab2ede5706b        peer71.org1.example.com   1.67%               26.87MiB / 7.695GiB   0.34%               1.98MB / 1.11MB     836kB / 32.8kB      14
a760ba830f2d        peer77.org1.example.com   4.09%               26.85MiB / 7.695GiB   0.34%               1.64MB / 973kB      139kB / 49.2kB      14
f7aaf54ac48b        peer58.org1.example.com   2.11%               27.48MiB / 7.695GiB   0.35%               2.51MB / 1.9MB      156kB / 32.8kB      15
5aec44e7e656        peer11.org1.example.com   1.58%               28.18MiB / 7.695GiB   0.36%               1.93MB / 662kB      32.8kB / 32.8kB     15
d384efbb7f40        peer40.org1.example.com   1.87%               27.78MiB / 7.695GiB   0.35%               2.19MB / 1.3MB      98.3kB / 32.8kB     13
023348fc4823        peer20.org1.example.com   2.88%               26.1MiB / 7.695GiB    0.33%               1.54MB / 524kB      41kB / 32.8kB       14
58aa95f6a58b        peer9.org1.example.com    10.35%              27.63MiB / 7.695GiB   0.35%               1.99MB / 656kB      188kB / 32.8kB      15
45c108523282        peer45.org1.example.com   7.80%               27.07MiB / 7.695GiB   0.34%               2MB / 697kB         57.3kB / 32.8kB     13
eff0ce3d778e        peer3.org1.example.com    1.22%               27.69MiB / 7.695GiB   0.35%               1.87MB / 620kB      98.3kB / 32.8kB     13
01557fa306df        peer51.org1.example.com   1.03%               27.49MiB / 7.695GiB   0.35%               1.99MB / 932kB      57.3kB / 32.8kB     14
065f6ed18ed7        peer57.org1.example.com   1.95%               28.03MiB / 7.695GiB   0.36%               2.13MB / 730kB      65.5kB / 32.8kB     15
c036b66baf22        peer26.org1.example.com   1.59%               28.05MiB / 7.695GiB   0.36%               2.21MB / 732kB      65.5kB / 32.8kB     14
4e1e3e229574        peer7.org1.example.com    2.12%               28.3MiB / 7.695GiB    0.36%               1.9MB / 782kB       115kB / 32.8kB      15
b551342d1d66        peer23.org1.example.com   9.27%               28.3MiB / 7.695GiB    0.36%               2.19MB / 1.21MB     500kB / 32.8kB      13
111ec92811dc        peer65.org1.example.com   2.80%               26.75MiB / 7.695GiB   0.34%               2.06MB / 648kB      106kB / 123kB       14
4b79960f5d94        peer0.org1.example.com    40.55%              66.31MiB / 7.695GiB   0.84%               9.91MB / 27.6MB     524kB / 90.1kB      14
91023ac5f6e0        peer31.org1.example.com   2.44%               28.24MiB / 7.695GiB   0.36%               1.91MB / 681kB      246kB / 32.8kB      15
c13373dc2c1f        peer56.org1.example.com   3.18%               26.52MiB / 7.695GiB   0.34%               2.47MB / 1.69MB     246kB / 32.8kB      15
a6f2e9256efc        peer52.org1.example.com   2.71%               26.94MiB / 7.695GiB   0.34%               1.81MB / 757kB      90.1kB / 32.8kB     14
0c5c3828b471        peer92.org1.example.com   2.41%               27.28MiB / 7.695GiB   0.35%               1.94MB / 826kB      180kB / 98.3kB      17
9904d77d6a79        peer78.org1.example.com   2.15%               27.07MiB / 7.695GiB   0.34%               2.46MB / 1.56MB     65.5kB / 98.3kB     16
ba802c0bfb4b        peer43.org1.example.com   3.40%               26.61MiB / 7.695GiB   0.34%               1.93MB / 662kB      221kB / 123kB       15
e200a9e66dbc        peer22.org1.example.com   1.86%               26.38MiB / 7.695GiB   0.33%               1.3MB / 487kB       41kB / 32.8kB       13
3508d546543f        peer61.org1.example.com   0.90%               13.3MiB / 7.695GiB    0.17%               205kB / 34kB        106kB / 1.02MB      9
3144ba249452        peer25.org1.example.com   8.41%               28.55MiB / 7.695GiB   0.36%               1.91MB / 659kB      57.3kB / 32.8kB     15
1d60a9a43455        peer39.org1.example.com   2.79%               28.2MiB / 7.695GiB    0.36%               2.02MB / 789kB      57.3kB / 32.8kB     15
c9c5b3e38a28        peer33.org1.example.com   1.29%               28.15MiB / 7.695GiB   0.36%               2.19MB / 719kB      90.1kB / 32.8kB     15
027869595f92        peer82.org1.example.com   3.88%               27.07MiB / 7.695GiB   0.34%               2.01MB / 949kB      98.3kB / 32.8kB     15
815dcb6c70a1        peer15.org1.example.com   3.68%               27.26MiB / 7.695GiB   0.35%               1.87MB / 680kB      221kB / 32.8kB      13
a44a5ecadd32        peer53.org1.example.com   9.65%               27.5MiB / 7.695GiB    0.35%               1.96MB / 709kB      90.1kB / 90.1kB     13
b2a9a8f48d8e        peer72.org1.example.com   1.38%               27.2MiB / 7.695GiB    0.35%               2.07MB / 736kB      106kB / 57.3kB      15
