1542764522.7487586,peer6.org1.example.com,524kB / 460kB,524000,460000
1542764522.7487586,peer75.org1.example.com,622kB / 443kB,622000,443000
1542764522.7487586,peer81.org1.example.com,618kB / 453kB,618000,453000
1542764522.7487586,peer37.org1.example.com,479kB / 354kB,479000,354000
1542764522.7487586,peer28.org1.example.com,445kB / 366kB,445000,366000
1542764522.7487586,peer2.org1.example.com,638kB / 413kB,638000,413000
1542764522.7487586,peer68.org1.example.com,493kB / 395kB,493000,395000
1542764522.7487586,peer48.org1.example.com,524kB / 347kB,524000,347000
1542764522.7487586,peer10.org1.example.com,568kB / 383kB,568000,383000
1542764522.7487586,peer98.org1.example.com,533kB / 381kB,533000,381000
1542764522.7487586,peer93.org1.example.com,538kB / 410kB,538000,410000
1542764522.7487586,peer71.org1.example.com,453kB / 265kB,453000,265000
1542764522.7487586,peer77.org1.example.com,570kB / 270kB,570000,270000
1542764522.7487586,peer58.org1.example.com,654kB / 483kB,654000,483000
1542764522.7487586,peer11.org1.example.com,484kB / 150kB,484000,150000
1542764522.7487586,peer40.org1.example.com,474kB / 193kB,474000,193000
1542764522.7487586,peer20.org1.example.com,464kB / 136kB,464000,136000
1542764522.7487586,peer9.org1.example.com,388kB / 89.4kB,388000,89400
1542764522.7487586,peer45.org1.example.com,390kB / 140kB,390000,140000
1542764522.7487586,peer3.org1.example.com,378kB / 88.7kB,378000,88700
1542764522.7487586,peer51.org1.example.com,480kB / 138kB,480000,138000
1542764522.7487586,peer57.org1.example.com,370kB / 121kB,370000,121000
1542764522.7487586,peer26.org1.example.com,427kB / 136kB,427000,136000
1542764522.7487586,peer7.org1.example.com,404kB / 157kB,404000,157000
1542764522.7487586,peer23.org1.example.com,472kB / 290kB,472000,290000
1542764522.7487586,peer65.org1.example.com,420kB / 105kB,420000,105000
1542764522.7487586,peer0.org1.example.com,2.43MB / 8.94MB,2430000,8940000
1542764522.7487586,peer31.org1.example.com,432kB / 117kB,432000,117000
1542764522.7487586,peer56.org1.example.com,532kB / 377kB,532000,377000
1542764522.7487586,peer52.org1.example.com,400kB / 163kB,400000,163000
1542764522.7487586,peer92.org1.example.com,369kB / 129kB,369000,129000
1542764522.7487586,peer78.org1.example.com,504kB / 276kB,504000,276000
1542764522.7487586,peer43.org1.example.com,369kB / 105kB,369000,105000
1542764522.7487586,peer22.org1.example.com,396kB / 125kB,396000,125000
1542764522.7487586,peer61.org1.example.com,110kB / 13kB,110000,13000
1542764522.7487586,peer25.org1.example.com,417kB / 129kB,417000,129000
1542764522.7487586,peer39.org1.example.com,482kB / 124kB,482000,124000
1542764522.7487586,peer33.org1.example.com,435kB / 150kB,435000,150000
1542764522.7487586,peer82.org1.example.com,443kB / 130kB,443000,130000
1542764522.7487586,peer15.org1.example.com,363kB / 115kB,363000,115000
1542764522.7487586,peer53.org1.example.com,404kB / 111kB,404000,111000
1542764522.7487586,peer72.org1.example.com,465kB / 140kB,465000,140000
1542764522.7487586,peer5.org1.example.com,452kB / 136kB,452000,136000
1542764522.7487586,peer96.org1.example.com,362kB / 151kB,362000,151000
1542764522.7487586,peer49.org1.example.com,444kB / 140kB,444000,140000
1542764522.7487586,peer14.org1.example.com,527kB / 258kB,527000,258000

peer63.org1.example.com,28.1kB / 8.25kB
peer54.org1.example.com,29.9kB / 8.15kB
peer95.org1.example.com,28.7kB / 8.15kB
peer30.org1.example.com,29.5kB / 8.52kB
peer90.org1.example.com,30kB / 8.04kB
peer55.org1.example.com,30.2kB / 8.16kB
peer84.org1.example.com,29.2kB / 8.15kB
peer17.org1.example.com,31.6kB / 8.23kB
peer13.org1.example.com,98.5kB / 21.5kB
peer60.org1.example.com,106kB / 40.4kB
peer35.org1.example.com,112kB / 40.8kB
peer74.org1.example.com,100kB / 27.7kB
peer29.org1.example.com,108kB / 46.2kB
peer79.org1.example.com,107kB / 39.2kB
peer32.org1.example.com,92.7kB / 16.9kB
peer97.org1.example.com,85.5kB / 12.3kB
peer70.org1.example.com,109kB / 36.6kB
peer50.org1.example.com,111kB / 40.1kB
peer62.org1.example.com,105kB / 26.9kB
peer16.org1.example.com,91.6kB / 15.5kB
peer83.org1.example.com,113kB / 49kB
peer87.org1.example.com,134kB / 61.2kB
peer73.org1.example.com,147kB / 92.2kB
peer80.org1.example.com,187kB / 94.2kB
peer34.org1.example.com,239kB / 94.9kB
peer42.org1.example.com,157kB / 127kB
peer67.org1.example.com,135kB / 69.5kB
peer27.org1.example.com,199kB / 125kB
peer12.org1.example.com,147kB / 92.9kB
peer91.org1.example.com,110kB / 63.1kB
peer99.org1.example.com,226kB / 162kB
peer94.org1.example.com,153kB / 101kB
peer24.org1.example.com,163kB / 142kB
peer88.org1.example.com,158kB / 120kB
peer38.org1.example.com,362kB / 267kB
peer89.org1.example.com,425kB / 279kB
peer59.org1.example.com,386kB / 291kB
peer76.org1.example.com,426kB / 335kB
peer85.org1.example.com,505kB / 360kB
peer1.org1.example.com,1.34MB / 2.85MB
peer64.org1.example.com,507kB / 335kB
peer44.org1.example.com,414kB / 322kB
peer66.org1.example.com,495kB / 365kB
peer4.org1.example.com,394kB / 316kB
peer36.org1.example.com,511kB / 369kB
peer69.org1.example.com,562kB / 384kB
peer21.org1.example.com,527kB / 396kB
peer18.org1.example.com,514kB / 412kB
peer19.org1.example.com,478kB / 417kB
orderer.example.com,95.1kB / 2.15kB
peer46.org1.example.com,604kB / 472kB
peer41.org1.example.com,566kB / 408kB
peer8.org1.example.com,638kB / 503kB
peer86.org1.example.com,718kB / 483kB
peer47.org1.example.com,567kB / 434kB
peer6.org1.example.com,568kB / 487kB
peer75.org1.example.com,689kB / 470kB
peer81.org1.example.com,644kB / 478kB
peer37.org1.example.com,538kB / 364kB
peer28.org1.example.com,500kB / 378kB
peer2.org1.example.com,657kB / 430kB
peer68.org1.example.com,504kB / 408kB
peer48.org1.example.com,567kB / 361kB
peer10.org1.example.com,586kB / 407kB
peer98.org1.example.com,589kB / 417kB
peer93.org1.example.com,562kB / 434kB
peer71.org1.example.com,462kB / 272kB
peer77.org1.example.com,586kB / 280kB
peer58.org1.example.com,734kB / 551kB
peer11.org1.example.com,499kB / 156kB
peer40.org1.example.com,491kB / 208kB
peer20.org1.example.com,470kB / 137kB
peer9.org1.example.com,401kB / 95kB
peer45.org1.example.com,432kB / 148kB
peer3.org1.example.com,394kB / 94.2kB
peer51.org1.example.com,519kB / 164kB
peer57.org1.example.com,376kB / 123kB
peer26.org1.example.com,467kB / 143kB
peer7.org1.example.com,425kB / 178kB
peer23.org1.example.com,528kB / 310kB
peer65.org1.example.com,454kB / 109kB
peer0.org1.example.com,2.59MB / 9.42MB
peer31.org1.example.com,448kB / 122kB
peer56.org1.example.com,542kB / 405kB
peer52.org1.example.com,417kB / 170kB
peer92.org1.example.com,387kB / 145kB
peer78.org1.example.com,523kB / 287kB
peer43.org1.example.com,382kB / 111kB
peer22.org1.example.com,455kB / 131kB
peer61.org1.example.com,116kB / 14.2kB
peer25.org1.example.com,430kB / 134kB
peer39.org1.example.com,549kB / 134kB
peer33.org1.example.com,487kB / 154kB
peer82.org1.example.com,483kB / 137kB
peer15.org1.example.com,381kB / 122kB
peer53.org1.example.com,418kB / 119kB
peer72.org1.example.com,475kB / 143kB
peer5.org1.example.com,467kB / 142kB
peer96.org1.example.com,367kB / 152kB
peer49.org1.example.com,500kB / 165kB
peer14.org1.example.com,555kB / 283kB
1542764526.852096,peer63.org1.example.com,28.1kB / 8.25kB,28100,8250
1542764526.852096,peer54.org1.example.com,29.9kB / 8.15kB,29900,8150
1542764526.852096,peer95.org1.example.com,28.7kB / 8.15kB,28700,8150
1542764526.852096,peer30.org1.example.com,29.5kB / 8.52kB,29500,8520
1542764526.852096,peer90.org1.example.com,30kB / 8.04kB,30000,8039
1542764526.852096,peer55.org1.example.com,30.2kB / 8.16kB,30200,8160
1542764526.852096,peer84.org1.example.com,29.2kB / 8.15kB,29200,8150
1542764526.852096,peer17.org1.example.com,31.6kB / 8.23kB,31600,8230
